##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.00,2.31161e-22,2.05798e-22,8.59261e-22, 3.05396e-24, 2.90898e-24,1.04861e-23,2.21064e-22,2.05657e-22,8.57963e-22,7.04302e-24,7.04302e-24,4.60265e-23,1.00590e-29,1.00590e-29,5.05311e-28,5.66018e-34,5.66018e-34,4.90268e-31,6.66080e-34,6.66080e-34,9.98282e-31,2.37679e-41,2.37679e-41,4.26096e-35,8.63200e-33,8.63200e-33,1.74760e-29,3.98581e-42,3.98580e-42,1.84350e-35
1.01,2.57143e-22,2.28372e-22,9.24227e-22, 3.53592e-24, 3.35874e-24,1.18426e-23,2.45831e-22,2.28214e-22,9.22784e-22,7.77667e-24,7.77667e-24,5.02459e-23,1.18576e-29,1.18575e-29,5.79971e-28,6.94440e-34,6.94440e-34,5.77814e-31,8.01438e-34,8.01438e-34,1.15629e-30,3.05035e-41,3.05035e-41,5.09081e-35,9.81745e-33,9.81745e-33,1.93281e-29,4.90329e-42,4.90329e-42,2.12731e-35
1.02,2.85861e-22,2.53237e-22,1.00139e-21, 4.08880e-24, 3.87599e-24,1.33540e-23,2.73190e-22,2.53062e-22,9.99797e-22,8.58195e-24,8.58195e-24,5.48225e-23,1.39686e-29,1.39685e-29,6.68549e-28,8.51418e-34,8.51418e-34,6.80606e-31,9.63754e-34,9.63754e-34,1.33867e-30,3.91213e-41,3.91213e-41,6.07921e-35,1.11619e-32,1.11619e-32,2.13703e-29,6.02908e-42,6.02907e-42,2.45391e-35
1.03,3.17580e-22,2.80597e-22,1.08428e-21, 4.72218e-24, 4.46626e-24,1.50348e-23,3.03392e-22,2.80402e-22,1.08253e-21,9.46536e-24,9.46536e-24,5.97836e-23,1.64446e-29,1.64445e-29,7.72044e-28,1.04317e-33,1.04317e-33,8.01230e-31,1.15829e-33,1.15829e-33,1.54909e-30,5.01395e-41,5.01395e-41,7.25585e-35,1.26862e-32,1.26862e-32,2.36214e-29,7.40979e-42,7.40979e-42,2.82964e-35
1.04,3.52590e-22,3.10575e-22,1.17452e-21, 5.44683e-24, 5.14318e-24,1.69056e-23,3.36709e-22,3.10358e-22,1.17259e-21,1.04339e-23,1.04339e-23,6.51586e-23,1.93468e-29,1.93466e-29,8.82424e-28,1.27723e-33,1.27723e-33,9.42699e-31,1.39130e-33,1.39130e-33,1.79174e-30,6.42171e-41,6.42171e-41,8.65588e-35,1.44138e-32,1.44138e-32,2.61022e-29,9.10237e-42,9.10237e-42,3.26172e-35
1.05,3.91208e-22,3.43401e-22,1.27058e-21, 6.27481e-24, 5.90461e-24,1.89850e-23,3.73438e-22,3.43157e-22,1.26847e-21,1.14952e-23,1.14952e-23,7.06786e-23,2.27464e-29,2.27462e-29,1.00750e-27,1.56276e-33,1.56276e-33,1.10852e-30,1.67025e-33,1.67025e-33,2.07145e-30,8.21914e-41,8.21914e-41,1.03209e-34,1.63712e-32,1.63712e-32,2.88352e-29,1.11763e-41,1.11763e-41,3.75844e-35
1.06,4.33776e-22,3.79407e-22,1.37335e-21, 7.21960e-24, 6.76904e-24,2.12930e-23,4.13899e-22,3.79135e-22,1.37105e-21,1.26575e-23,1.26575e-23,7.65516e-23,2.67260e-29,2.67257e-29,1.14927e-27,1.91082e-33,1.91082e-33,1.30278e-30,2.00401e-33,2.00401e-33,2.39370e-30,1.05126e-40,1.05126e-40,1.23000e-34,1.85883e-32,1.85883e-32,3.18454e-29,1.37162e-41,1.37162e-41,4.32927e-35
1.07,4.80668e-22,4.19062e-22,1.48485e-21, 8.29626e-24, 7.77493e-24,2.36591e-23,4.58442e-22,4.18758e-22,1.48235e-21,1.39297e-23,1.39297e-23,8.28662e-23,3.13815e-29,3.13811e-29,1.31339e-27,2.33483e-33,2.33483e-33,1.53022e-30,2.40311e-33,2.40311e-33,2.76480e-30,1.34368e-40,1.34368e-40,1.46514e-34,2.10987e-32,2.10987e-32,3.51600e-29,1.68255e-41,1.68255e-41,4.98503e-35
1.08,5.32288e-22,4.62597e-22,1.60716e-21, 9.52158e-24, 8.90111e-24,2.61332e-23,5.07446e-22,4.62257e-22,1.60445e-21,1.53213e-23,1.53213e-23,8.96381e-23,3.68242e-29,3.68237e-29,1.50181e-27,2.85100e-33,2.85100e-33,1.79636e-30,2.88009e-33,2.88009e-33,3.19196e-30,1.71630e-40,1.71630e-40,1.74437e-34,2.39401e-32,2.39401e-32,3.88087e-29,2.06299e-41,2.06298e-41,5.73811e-35
1.09,5.89076e-22,5.10285e-22,1.73633e-21, 1.09143e-23, 1.01632e-23,2.88094e-23,5.61319e-22,5.09905e-22,1.73339e-21,1.68428e-23,1.68428e-23,9.69127e-23,4.31831e-29,4.31825e-29,1.71634e-27,3.47895e-33,3.47895e-33,2.10762e-30,3.44981e-33,3.44981e-33,3.68343e-30,2.19077e-40,2.19077e-40,2.07578e-34,2.71554e-32,2.71554e-32,4.28240e-29,2.52826e-41,2.52826e-41,6.63495e-35
