##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-03-09
wl_nm,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1239.842,2.31161e-22,2.07234e-22,9.89028e-22, 3.05396e-24, 2.86015e-24,1.10482e-23,2.21064e-22,2.07094e-22,9.87442e-22,7.04302e-24,7.04302e-24,5.48856e-23,1.00590e-29,1.00589e-29,4.51330e-28,5.66018e-34,5.66018e-34,3.59139e-31,6.66080e-34,6.66080e-34,1.78855e-30,2.37679e-41,2.37679e-41,5.62136e-35,8.63200e-33,8.63200e-33,1.44001e-29,3.98581e-42,3.98580e-42,1.58353e-35
1227.566,2.57143e-22,2.30024e-22,1.06905e-21, 3.53592e-24, 3.29919e-24,1.24593e-23,2.45831e-22,2.29869e-22,1.06730e-21,7.77667e-24,7.77667e-24,5.99917e-23,1.18576e-29,1.18575e-29,5.18420e-28,6.94440e-34,6.94440e-34,4.24538e-31,8.01438e-34,8.01438e-34,2.05818e-30,3.05035e-41,3.05035e-41,6.67442e-35,9.81745e-33,9.81745e-33,1.58786e-29,4.90329e-42,4.90329e-42,1.82544e-35
1215.531,2.85861e-22,2.55138e-22,1.15541e-21, 4.08880e-24, 3.80016e-24,1.38785e-23,2.73190e-22,2.54965e-22,1.15347e-21,8.58195e-24,8.58195e-24,6.55345e-23,1.39686e-29,1.39684e-29,5.95151e-28,8.51418e-34,8.51418e-34,5.01557e-31,9.63754e-34,9.63754e-34,2.36739e-30,3.91213e-41,3.91213e-41,7.92094e-35,1.11619e-32,1.11619e-32,1.75042e-29,6.02908e-42,6.02907e-42,2.10355e-35
1203.730,3.17580e-22,2.82660e-22,1.24795e-21, 4.72218e-24, 4.37089e-24,1.53916e-23,3.03392e-22,2.82467e-22,1.24580e-21,9.46536e-24,9.46536e-24,7.15480e-23,1.64446e-29,1.64444e-29,6.82863e-28,1.04317e-33,1.04317e-33,5.92209e-31,1.15829e-33,1.15829e-33,2.72186e-30,5.01395e-41,5.01395e-41,9.39574e-35,1.26862e-32,1.26862e-32,1.92908e-29,7.40979e-42,7.40979e-42,2.42315e-35
1192.156,3.52590e-22,3.13108e-22,1.34700e-21, 5.44683e-24, 5.02963e-24,1.73325e-23,3.36709e-22,3.12894e-22,1.34465e-21,1.04339e-23,1.04339e-23,7.75077e-23,1.93468e-29,1.93465e-29,7.83068e-28,1.27723e-33,1.27723e-33,6.98847e-31,1.39130e-33,1.39130e-33,3.13022e-30,6.42171e-41,6.42171e-41,1.11398e-34,1.44138e-32,1.44138e-32,2.12540e-29,9.10237e-42,9.10237e-42,2.79031e-35
1180.802,3.91208e-22,3.46591e-22,1.45297e-21, 6.27481e-24, 5.76866e-24,1.95460e-23,3.73438e-22,3.46353e-22,1.45041e-21,1.14952e-23,1.14952e-23,8.38654e-23,2.27464e-29,2.27460e-29,8.97485e-28,1.56276e-33,1.56276e-33,8.24217e-31,1.67025e-33,1.67025e-33,3.60375e-30,8.21914e-41,8.21914e-41,1.32013e-34,1.63712e-32,1.63712e-32,2.34106e-29,1.11763e-41,1.11763e-41,3.21195e-35
1169.662,4.33776e-22,3.83385e-22,1.56625e-21, 7.21960e-24, 6.60648e-24,2.16878e-23,4.13899e-22,3.83120e-22,1.56348e-21,1.26575e-23,1.26575e-23,9.06596e-23,2.67260e-29,2.67255e-29,1.02806e-27,1.91082e-33,1.91082e-33,9.71526e-31,2.00401e-33,2.00401e-33,4.14703e-30,1.05126e-40,1.05126e-40,1.56368e-34,1.85883e-32,1.85883e-32,2.57791e-29,1.37162e-41,1.37162e-41,3.69599e-35
1158.731,4.80668e-22,4.23785e-22,1.68729e-21, 8.29626e-24, 7.58162e-24,2.39182e-23,4.58442e-22,4.23489e-22,1.68427e-21,1.39297e-23,1.39297e-23,9.79509e-23,3.13815e-29,3.13809e-29,1.17698e-27,2.33483e-33,2.33483e-33,1.14451e-30,2.40311e-33,2.40311e-33,4.77005e-30,1.34368e-40,1.34368e-40,1.85129e-34,2.10987e-32,2.10987e-32,2.83795e-29,1.68255e-41,1.68255e-41,4.25147e-35
1148.002,5.32288e-22,4.67985e-22,1.81683e-21, 9.52158e-24, 8.68837e-24,2.65326e-23,5.07446e-22,4.67653e-22,1.81355e-21,1.53213e-23,1.53213e-23,1.05771e-22,3.68242e-29,3.68234e-29,1.34674e-27,2.85100e-33,2.85100e-33,1.34758e-30,2.88009e-33,2.88009e-33,5.48420e-30,1.71630e-40,1.71630e-40,2.19077e-34,2.39401e-32,2.39401e-32,3.12340e-29,2.06299e-41,2.06298e-41,4.88870e-35
1137.470,5.89076e-22,5.16375e-22,1.95238e-21, 1.09143e-23, 9.94317e-24,2.89319e-23,5.61319e-22,5.16005e-22,1.94882e-21,1.68428e-23,1.68428e-23,1.14153e-22,4.31831e-29,4.31821e-29,1.54015e-27,3.47895e-33,3.47895e-33,1.58650e-30,3.44981e-33,3.44981e-33,6.30244e-30,2.19077e-40,2.19077e-40,2.59128e-34,2.71554e-32,2.71554e-32,3.43666e-29,2.52826e-41,2.52826e-41,5.61948e-35
