##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: auto-d 
## Empirical bandwidths d: 0.259, 0.351, 0.439, 0.331, 0.31, 0.367, 0.342, 0.42, 0.308
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.00,2.84738e-25,2.75919e-25,5.21116e-25, 8.89875e-27, 7.54668e-27, 1.17439e-26, 2.75837e-25, 2.75816e-25, 5.20984e-25,1.61801e-30,1.59161e-30,2.92886e-30,9.15258e-51,9.15252e-51,1.82883e-50,3.27175e-69,3.27175e-69,6.54350e-69,2.24022e-65,2.24022e-65,4.48044e-65,7.12275e-103,7.12259e-103,1.42433e-102,2.95449e-78,2.95449e-78,5.90898e-78,3.65503e-140,3.65503e-140,7.31006e-140
1.01,3.78518e-25,3.65642e-25,6.89761e-25, 1.30078e-26, 1.10172e-26, 1.71617e-26, 3.65508e-25, 3.65476e-25, 6.89547e-25,2.19806e-30,2.16104e-30,3.97051e-30,1.85068e-50,1.85067e-50,3.69783e-50,8.54767e-69,8.54767e-69,1.70953e-68,4.84316e-65,4.84316e-65,9.68631e-65,2.19115e-102,2.19110e-102,4.38160e-102,6.35770e-78,6.35770e-78,1.27154e-77,1.65195e-139,1.65195e-139,3.30389e-139
1.02,5.01735e-25,4.83045e-25,9.10141e-25, 1.89046e-26, 1.59900e-26, 2.49321e-26, 4.82827e-25, 4.82781e-25, 9.09799e-25,2.98039e-30,2.92857e-30,5.37219e-30,3.72887e-50,3.72885e-50,7.45038e-50,2.22409e-68,2.22409e-68,4.44819e-68,1.04405e-64,1.04405e-64,2.08810e-64,6.71826e-102,6.71810e-102,1.34343e-101,1.36514e-77,1.36514e-77,2.73028e-77,7.43546e-139,7.43546e-139,1.48709e-138
1.03,6.63146e-25,6.36177e-25,1.19720e-24, 2.73161e-26, 2.30717e-26, 3.60090e-26, 6.35826e-25, 6.35758e-25, 1.19665e-24,4.03350e-30,3.96110e-30,7.25456e-30,7.48651e-50,7.48646e-50,1.49577e-49,5.76361e-68,5.76361e-68,1.15272e-67,2.24424e-64,2.24424e-64,4.48847e-64,2.05305e-101,2.05299e-101,4.10537e-101,2.92491e-77,2.92491e-77,5.84982e-77,3.33293e-138,3.33293e-138,6.66586e-138
1.04,8.73958e-25,8.35267e-25,1.56988e-24, 3.92427e-26, 3.30956e-26, 5.15609e-26, 8.34710e-25, 8.34611e-25, 1.56903e-24,5.44836e-30,5.34748e-30,9.77745e-30,1.49774e-49,1.49773e-49,2.99231e-49,1.48755e-67,1.48755e-67,2.97510e-67,4.81027e-64,4.81027e-64,9.62054e-64,6.25312e-101,6.25296e-101,1.25040e-100,6.25323e-77,6.25323e-77,1.25065e-76,1.48782e-137,1.48782e-137,2.97564e-137
1.05,1.14846e-24,1.09328e-24,2.05217e-24, 5.60515e-26, 4.71760e-26, 7.33280e-26, 1.09240e-24, 1.09226e-24, 2.05086e-24,7.34554e-30,7.20636e-30,1.31521e-29,2.98572e-49,2.98570e-49,5.96490e-49,3.82370e-67,3.82370e-67,7.64740e-67,1.02807e-63,1.02807e-63,2.05614e-63,1.89824e-100,1.89819e-100,3.79578e-100,1.33399e-76,1.33399e-76,2.66799e-76,6.61422e-137,6.61422e-137,1.32284e-136
1.06,1.50483e-24,1.42658e-24,2.67429e-24, 7.95984e-26, 6.67862e-26, 1.03998e-25, 1.42522e-24, 1.42501e-24, 2.67227e-24,9.88453e-30,9.69288e-30,1.76571e-29,5.93084e-49,5.93079e-49,1.18482e-48,9.78882e-67,9.78882e-67,1.95776e-66,2.19092e-63,2.19092e-63,4.38185e-63,5.74330e-100,5.74314e-100, 1.14844e-99,2.83961e-76,2.83961e-76,5.67922e-76,2.92827e-136,2.92827e-136,5.85654e-136
1.07,1.96606e-24,1.85575e-24,3.47416e-24, 1.12386e-25, 9.40861e-26, 1.46673e-25, 1.85366e-24, 1.85337e-24, 3.47106e-24,1.32758e-29,1.30125e-29,2.36591e-29,1.17391e-48,1.17390e-48,2.34507e-48,2.49580e-66,2.49580e-66,4.99160e-66,4.65568e-63,4.65568e-63,9.31136e-63, 1.73191e-99, 1.73186e-99, 3.46313e-99,6.03140e-76,6.03140e-76,1.20628e-75,1.29106e-135,1.29106e-135,2.58212e-135
1.08,2.56120e-24,2.40662e-24,4.49924e-24, 1.57764e-25, 1.31997e-25, 2.06022e-25, 2.40342e-24, 2.40299e-24, 4.49453e-24,1.77968e-29,1.74356e-29,3.16395e-29,2.31531e-48,2.31529e-48,4.62498e-48,6.33756e-66,6.33756e-66,1.26751e-65,9.86483e-63,9.86483e-63,1.97297e-62, 5.20529e-99, 5.20513e-99, 1.04084e-98,1.27830e-75,1.27830e-75,2.55660e-75,5.66872e-135,5.66872e-135,1.13374e-134
1.09,3.32675e-24,3.11138e-24,5.80868e-24, 2.20188e-25, 1.83972e-25, 2.87715e-25, 3.10654e-24, 3.10594e-24, 5.80155e-24,2.38121e-29,2.33175e-29,4.22293e-29,4.55023e-48,4.55019e-48,9.08900e-48,1.60275e-65,1.60275e-65,3.20550e-65,2.08423e-62,2.08423e-62,4.16846e-62, 1.55925e-98, 1.55920e-98, 3.11784e-98,2.70334e-75,2.70334e-75,5.40668e-75,2.47871e-134,2.47871e-134,4.95741e-134
1.10,4.30848e-24,4.01016e-24,7.47588e-24, 3.05542e-25, 2.54894e-25, 3.99464e-25, 4.00291e-24, 4.00205e-24, 7.46520e-24,3.17999e-29,3.11240e-29,5.62537e-29,8.91066e-48,8.91057e-48,1.77981e-47,4.03684e-65,4.03684e-65,8.07368e-65,4.39087e-62,4.39087e-62,8.78173e-62, 4.65522e-98, 4.65507e-98, 9.30838e-98,5.70455e-75,5.70455e-75,1.14091e-74,1.07936e-133,1.07936e-133,2.15872e-133
1.11,5.56348e-24,5.15265e-24,9.59171e-24, 4.21543e-25, 3.50947e-25, 5.51391e-25, 5.14190e-24, 5.14068e-24, 9.57584e-24,4.23864e-29,4.14648e-29,7.47894e-29,1.73875e-47,1.73873e-47,3.47280e-47,1.01262e-64,1.01262e-64,2.02524e-64,9.22366e-62,9.22366e-62,1.84473e-61, 1.38521e-97, 1.38517e-97, 2.76979e-97,1.20114e-74,1.20114e-74,2.40228e-74,4.68066e-133,4.68066e-133,9.36133e-133
