##### Vertical Excitation Energies (VEE) and Oscillator Strengths (f) for U6OH #####
## Number of configurations: 100
## Number of states/transitions: 9
VEE1,VEE2,VEE3,VEE4,VEE5,VEE6,VEE7,VEE8,VEE9,f1,f2,f3,f4,f5,f6,f7,f8,f9
2.292329e+00,2.903794e+00,3.913628e+00,3.958616e+00,4.507613e+00,4.744012e+00,5.697395e+00,6.036105e+00,6.039202e+00,1.817962e-04,2.381831e-02,2.006816e-03,5.320155e-03,2.748223e-03,2.209475e-03,1.505385e-02,4.262420e-04,3.704328e-04
2.159393e+00,2.733748e+00,3.344676e+00,3.736686e+00,4.183976e+00,4.422003e+00,4.943655e+00,6.312166e+00,6.362221e+00,1.138402e-04,2.718596e-02,3.444141e-03,3.934149e-03,2.750470e-03,2.242498e-03,2.336267e-03,8.273396e-04,1.899143e-02
2.028729e+00,2.676328e+00,3.977939e+00,4.150845e+00,4.410451e+00,4.621002e+00,4.892681e+00,4.897522e+00,5.193120e+00,1.381343e-04,1.428561e-02,2.987201e-03,7.396107e-04,4.977466e-03,4.665271e-03,1.152487e-03,8.957103e-04,3.869851e-05
1.988624e+00,2.400704e+00,2.706618e+00,3.057215e+00,4.384606e+00,4.475000e+00,5.600913e+00,5.955781e+00,6.012304e+00,1.514846e-03,1.002907e-03,1.574901e-02,9.369082e-04,9.930972e-03,5.069573e-03,1.556772e-03,2.693944e-03,1.656594e-02
1.973233e+00,2.796138e+00,4.268993e+00,4.304082e+00,4.508032e+00,4.682404e+00,4.894832e+00,5.277226e+00,5.894399e+00,2.557110e-05,1.923551e-02,2.890764e-03,7.486682e-04,4.866805e-03,5.748790e-03,1.111515e-02,2.156839e-04,8.802537e-04
1.813185e+00,2.308559e+00,3.752845e+00,4.101861e+00,4.747984e+00,4.942662e+00,5.120405e+00,5.465503e+00,5.569268e+00,1.262124e-04,1.452975e-02,3.980722e-03,3.771185e-04,8.332813e-03,4.724906e-04,1.477887e-03,1.444671e-03,5.158887e-04
1.644055e+00,2.217595e+00,3.669717e+00,4.056866e+00,4.325922e+00,4.355320e+00,4.709367e+00,4.850865e+00,5.114692e+00,2.461133e-05,2.235552e-02,5.213576e-04,2.064163e-03,2.900056e-04,2.118548e-03,9.068588e-04,9.121508e-05,3.656368e-03
2.378136e+00,3.153835e+00,4.184343e+00,4.414109e+00,4.848508e+00,5.001554e+00,5.404461e+00,5.824286e+00,6.106753e+00,1.097904e-03,1.306372e-02,2.065622e-03,2.703380e-03,2.818791e-03,2.871386e-03,1.844412e-03,9.001643e-04,4.661266e-04
2.361454e+00,3.049643e+00,3.737004e+00,4.952662e+00,5.181419e+00,5.287347e+00,5.885267e+00,6.575767e+00,6.764226e+00,1.431361e-04,1.913175e-02,4.204066e-03,6.986321e-04,2.757790e-03,6.958643e-03,7.004593e-05,1.128065e-02,1.459878e-03
2.615564e+00,3.227528e+00,4.299013e+00,4.330999e+00,4.785467e+00,4.924288e+00,5.146871e+00,5.220399e+00,5.315913e+00,4.880032e-05,1.446173e-02,3.160665e-03,3.138614e-04,5.639865e-04,7.247380e-03,1.393669e-03,5.867707e-04,1.006728e-03
